Simulations	Runs	Undiscounted return	Undiscounted error	Discounted return	Discounted error	Time
1	20	-17.84	1.94154	-17.84	1.94154	0
2	20	-23.23	2.52481	-23.23	2.52481	0
4	20	-28.375	3.69739	-28.375	3.69739	0.0005
8	20	-21.76	2.45978	-21.76	2.45978	0.0035
16	20	-23.23	2.08178	-23.23	2.08178	0.0415
32	20	9.12	12.376	9.12	12.376	0.0945
64	20	10.7	18.0417	10.7	18.0417	0.158
128	20	47.635	12.5357	47.635	12.5357	0.396
256	20	62.645	11.6041	62.645	11.6041	0.976
512	20	45.215	28.5642	45.215	28.5642	1.696
1024	20	67.505	21.571	67.505	21.571	2.811
2048	20	92.89	1.88409	92.89	1.88409	4.3355
4096	20	96.665	0.779784	96.665	0.779784	4.7975
