Simulations	Runs	Undiscounted return	Undiscounted error	Discounted return	Discounted error	Time
1	20	-26.66	2.11893	-26.66	2.11893	0
2	20	-30.335	2.52896	-30.335	2.52896	0.0015
4	20	-29.11	2.32169	-29.11	2.32169	0.0005
8	20	-20.56	5.90971	-20.56	5.90971	0.0015
16	20	-15.29	7.79532	-15.29	7.79532	0.0455
32	20	-22.175	6.11453	-22.175	6.11453	0.141
64	20	1.775	12.8669	1.775	12.8669	0.4175
128	20	31.77	14.2346	31.77	14.2346	1.0535
256	20	76.26	8.35623	76.26	8.35623	2.762
512	20	78.44	9.13104	78.44	9.13104	3.762
1024	20	76	10.9358	76	10.9358	7.175
2048	20	79.82	11.8625	79.82	11.8625	11.6
4096	20	87.37	6.82516	87.37	6.82516	18.6785
